Country.of.Origin,Number.of.Bags,Bag.Weight,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,altitude_mean_meters
Brazil,320,60,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92,0.11,934
Taiwan,20,50,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,83.92,0.11,1200
Colombia,250,70,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,83.92,0.11,442
Colombia,226,70,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,83.92,0,NA
Taiwan,1,2,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,83.92,0,NA
Colombia,275,2,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,83.92,0,NA
Colombia,275,2,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,83.92,0,NA
Colombia,275,70,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92,0,1775
Taiwan,10,60,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,83.92,0.06,950
Colombia,250,70,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92,0.12,1550
Mexico,48,1,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,83.92,0.12,900
Mexico,250,1,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,83.92,0.11,1500
Mexico,20,1,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,83.92,0,1400
Colombia,275,70,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,83.83,0,2527
Colombia,275,70,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,83.83,0,NA
Costa Rica,275,69,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,83.83,0,1850
Guatemala,100,69,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,83.83,0.11,1500
Taiwan,167,30,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,7.75,83.83,0,1200
Brazil,320,2,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,83.83,0,1
Taiwan,8,18,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,83.83,0,525
Ethiopia,320,60,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,83.83,0.12,1676.5
Brazil,300,2,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,83.83,0,1200
Costa Rica,250,1,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,83.83,0.1,1300
Guatemala,250,69,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,83.83,0.1,1219.2
Brazil,320,60,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,83.83,0.1,1260
Ecuador,1,5,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,83.83,0.09,800
Colombia,250,70,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,83.83,0.11,1750
Guatemala,250,69,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,83.83,0.11,1310.64
Mexico,20,1,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,83.83,0.1,1218
Mexico,250,1,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,83.83,0.11,1300
Brazil,300,1,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,83.83,0.12,1250
Thailand,175,50,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,83.83,0.02,1499.9208
Thailand,1,60,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,83.83,0.01,NA
Ethiopia,300,6,7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5,83.83,0.1,NA
Kenya,200,60,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,83.75,0.11,1800
Brazil,320,60,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,83.75,0.11,890
Colombia,275,70,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,83.75,0.11,442
Taiwan,10,10,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,83.75,0,750
Colombia,275,70,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,83.75,0,NA
China,3,60,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,83.75,0.1,1650
Colombia,250,70,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,83.75,0,442
Uganda,320,60,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,83.75,0.12,1400
United States (Puerto Rico),18,5,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,83.75,0.12,853.44
Colombia,100,70,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,83.75,0,1775
Colombia,250,70,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,83.75,0,1550
Colombia,250,70,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,83.75,0,1750
Colombia,275,70,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,83.75,0.11,1750
United States (Hawaii),12,100,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,83.75,0,NA
Mexico,10,1,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,83.75,0.13,700
Guatemala,250,3,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,83.75,0.11,1300
Colombia,275,70,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,83.75,0.1,1600
Colombia,250,70,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,83.75,0.06,1600
United States (Hawaii),4,1,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,83.75,0,NA
Brazil,320,60,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,83.67,0.11,890
Kenya,200,60,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,83.67,0.11,1700
Honduras,285,69,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,83.67,0.1,1400
Nicaragua,275,69,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,83.67,0.1,1250
Brazil,320,60,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,83.67,0.11,934
Taiwan,20,50,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,83.67,0.1,1200
Costa Rica,275,69,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,83.67,0.11,1350
Thailand,1,1,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,83.67,0.12,800
Colombia,100,2,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67,0.11,1625
Guatemala,275,69,8,7.5,7.33,8,8,8,9.33,10,10,7.5,83.67,0.1,1356.6648
Colombia,250,70,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67,0,1750
Colombia,250,70,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,83.67,0,1900
Guatemala,250,69,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,83.67,0.12,1310.64
Guatemala,250,69,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,83.67,0.11,1310.64
Colombia,250,70,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,83.67,0.11,1750
Guatemala,250,1,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67,0.11,1450
Guatemala,250,1,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,83.67,0.11,1310.64
Mexico,48,1,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67,0.12,1100
Indonesia,10,60,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,83.67,0.12,1400
Guatemala,250,69,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67,0.1,1524
United States (Hawaii),3,100,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,83.67,0,NA
Brazil,320,60,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58,0.11,890
Guatemala,275,69,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58,0.11,1128.3696
Colombia,275,70,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.11,NA
China,3,60,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.1,1100
Colombia,275,70,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58,0.12,1775
Mexico,275,2,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58,0.12,1200
Ethiopia,250,60,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58,0,1850
Uganda,100,60,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,83.58,0.12,1800
Colombia,250,70,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58,0,1600
Colombia,250,70,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58,0.12,1550
Colombia,250,70,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58,0,1550
Taiwan,10,30,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58,0.11,1000
Colombia,275,70,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58,0.11,1775
Mexico,250,1,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.12,1000
Colombia,250,70,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.11,2136
Brazil,33,60,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58,0.12,1100
Colombia,50,70,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,83.5,0,1799
Taiwan,1,10,7.58,7.58,7.17,7.17,7,7,10,10,10,10,83.5,0.11,NA
Costa Rica,245,69,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,83.5,0,1850
Colombia,250,70,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5,0,1000
Guatemala,250,69,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5,0.1,1219.2
Colombia,180,70,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5,0.12,1775
"Tanzania, United Republic Of",5,60,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5,0.13,1400
Indonesia,200,30,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,83.5,0.13,1500
Ethiopia,320,60,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5,0.1,1600
Colombia,275,2,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5,0,NA
Colombia,275,70,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5,0.11,1850
Guatemala,250,1,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5,0.1,1400
Colombia,250,70,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5,0,1650
Honduras,275,1,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5,0.1,1350
Colombia,250,70,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,83.5,0,1750
Colombia,250,70,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,83.5,0.11,1750
Mexico,10,1,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5,0.13,1170
Mexico,10,1,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5,0.11,940
Mexico,15,1,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5,0.12,1400
Guatemala,275,69,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,83.5,0.1,1524
Colombia,175,70,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,83.5,0.11,1775
Guatemala,250,2,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,83.5,0,1402.08
United States (Hawaii),14,100,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,83.5,0.01,NA
Indonesia,10,60,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,83.5,0,1600
Colombia,300,29,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42,0,439
Guatemala,50,69,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,83.42,0.1,1700
Colombia,600,29,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,83.42,0.11,442
Costa Rica,275,69,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,83.42,0.09,1850
Taiwan,1,10,7.67,7.67,7,7.08,7,7,10,10,10,10,83.42,0.11,NA
Uganda,20,1218,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,83.42,0.11,1800
Thailand,500,25,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83.42,0.13,1200
El Salvador,275,69,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,83.42,0.11,1330
Colombia,275,70,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83.42,0.12,442
Brazil,300,60,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42,0.12,NA
"Tanzania, United Republic Of",39,60,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83.42,0.13,1600
Colombia,250,70,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83.42,0.12,1813
Guatemala,250,69,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83.42,0.1,1219.2
Guatemala,250,69,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83.42,0.1,1500
Guatemala,250,69,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83.42,0.11,1310.64
United States (Hawaii),13,100,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83.42,0,NA
Colombia,250,70,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83.42,0.11,1450
Colombia,250,70,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,83.42,0.1,NA
United States (Hawaii),12,60,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,83.42,0.01,NA
Thailand,4,1,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,83.42,0.11,NA
Mexico,6,6,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,83.38,0.09,1050
Colombia,275,70,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83.33,0,1650
Colombia,130,70,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83.33,0,NA
Colombia,275,70,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.33,0,NA
Brazil,10,2,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33,0.1,1227
Mexico,275,1,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83.33,0.12,1200
Colombia,275,70,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83.33,0.11,1650
"Tanzania, United Republic Of",10,60,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83.33,0.12,1700
Mexico,200,1,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83.33,0.12,1100
Costa Rica,250,3,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83.33,0.12,1300
United States (Hawaii),12,100,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83.33,0.11,NA
Costa Rica,250,1,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83.33,0.11,1200
Peru,280,5,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,83.33,0.12,NA
Haiti,2,4,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,83.33,0.11,1280.16
Colombia,250,70,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83.33,0.11,1000
Guatemala,250,69,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83.33,0.11,1310.64
United States (Hawaii),7,100,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83.33,0.1,NA
Burundi,220,60,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83.33,0,1880
Colombia,250,70,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83.33,0,1750
United States (Hawaii),27,100,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,83.33,0.01,NA
United States (Hawaii),25,100,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,83.33,0,NA
Mexico,50,50,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25,0.11,1600
Costa Rica,29,46,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25,0.11,1900
Costa Rica,275,69,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25,0.11,NA
Guatemala,275,0,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83.25,0.11,2100
Uganda,150,9000,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,83.25,0.12,NA
Brazil,300,60,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83.25,0.12,NA
Colombia,304,35,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25,0,442
Mexico,11,2,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25,0.12,1261
Taiwan,10,15,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83.25,0.1,1000
Taiwan,10,60,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,83.25,0.1,800
Colombia,250,70,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25,0,1483
Guatemala,26,69,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,83.25,0.1,1500
Colombia,275,70,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83.25,0.11,1750
Mexico,200,1,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83.25,0.12,1300
United States (Hawaii),11,100,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,83.25,0.11,NA
Mexico,10,1,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25,0.13,NA
Mexico,54,1,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,83.25,0.12,1000
Guatemala,250,1,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,83.25,0.11,1310.64
Brazil,30,60,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83.25,0.11,1200
Colombia,250,70,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83.25,0.12,175
Colombia,175,70,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83.25,0.11,1775
Colombia,250,70,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,83.25,0.08,1700
Colombia,250,70,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83.25,0.13,1880
Colombia,250,70,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83.25,0.04,1800
Brazil,320,60,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83.17,0.11,890
Guatemala,275,69,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83.17,0.1,1901
"Tanzania, United Republic Of",320,60,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,83.17,0.12,168
Peru,200,13800,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,83.17,0.11,NA
Vietnam,1,2,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,83.17,0.07,1550
Guatemala,250,1500,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,83.17,0.11,1500
Honduras,275,69,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,1450
China,3,60,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,83.17,0.11,1200
China,3,60,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,83.17,0.1,1600
El Salvador,275,69,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,83.17,0,1350
Guatemala,150,69,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,83.17,0.11,1500
Guatemala,100,69,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,83.17,0.12,1650
Kenya,300,2,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17,0.1,250.5
Thailand,1,1,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,83.17,0.12,800
"Tanzania, United Republic Of",180,60,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,83.17,0.13,1653
Colombia,232,70,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83.17,0,1775
Uganda,84,60,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,83.17,0.1,1800
Colombia,1,4,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,83.17,0.11,NA
Honduras,275,1,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,83.17,0.1,1450
Honduras,275,1,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,1350
Guatemala,200,69,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,83.17,0.09,1524
United States (Hawaii),6,100,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,83.17,0.11,NA
"Tanzania, United Republic Of",300,1,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,83.17,0.12,1800
Guatemala,250,69,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,1310.64
Mexico,45,1,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,83.17,0.11,1500
Mexico,10,1,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,83.17,0.12,532
Mexico,10,1,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,83.17,0.14,1089
Colombia,275,70,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,83.17,0.11,1775
Mexico,15,1,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,83.17,0.13,700
Colombia,250,70,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,83.17,0.11,1750
Mexico,250,1,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,83.17,0.11,1380
Brazil,50,60,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,83.17,0.12,1000
Brazil,100,60,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,83.17,0.11,950
Guatemala,250,2,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,83.17,0,1402.08
Brazil,25,60,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,83.17,0.12,1000
Brazil,90,60,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,83.17,0.02,900
El Salvador,250,69,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,83.17,0.14,1200
Ethiopia,300,6,7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,83.17,0.01,1850
Colombia,275,70,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,83.08,0,1799
Colombia,275,70,7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,83.08,0,NA
Brazil,320,60,7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,83.08,0.11,905
Brazil,320,2,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,83.08,0,1
Taiwan,20,60,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,83.08,0,750
Brazil,300,60,7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,83.08,0.11,NA
Brazil,300,2,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,83.08,0,1200
Costa Rica,250,1,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,83.08,0.1,1300
United States (Hawaii),16,100,7.33,7.75,7.58,7.33,7.83,7.67,10,10,10,7.58,83.08,0.12,NA
Taiwan,50,30,7.75,7.75,7.5,7.5,7.5,7.5,10,10,10,7.58,83.08,0.11,1300
United States (Hawaii),6,100,7.83,7.83,7.33,7.17,7.75,7.67,10,10,10,7.5,83.08,0.1,NA
Mexico,10,1,7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,7.5,83.08,0.1,1400
United States (Hawaii),7,100,7.67,7.58,7.5,7.67,7.92,8,9.33,9.33,10,8.08,83.08,0,NA
United States (Hawaii),6,100,7.33,7.58,7.58,7.92,7.67,7.58,10,10,10,7.42,83.08,0.12,NA
Colombia,275,70,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,83.08,0.01,1775
Colombia,250,70,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,83.08,0.08,1880
Indonesia,10,60,7.67,7.58,7.5,7.58,7.67,7.58,10,10,10,7.5,83.08,0,1350
Guatemala,275,69,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10,10,7.75,83.08,0.02,NA
Brazil,320,60,7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,83,0,890
Brazil,320,60,7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,83,0.11,894
Brazil,320,60,7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,83,0.11,872
Uganda,310,60,7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,7.58,83,0.12,1473
Uganda,325,60,7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,7.67,83,0.12,1645
Colombia,25,70,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,7.58,83,0.11,442
Vietnam,2,2,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,83,0,1550
Guatemala,275,69,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,83,0.11,1550
Guatemala,200,69,7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,7.58,83,0.11,1371.6
Guatemala,250,69,7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,7.33,83,0.11,1500
Brazil,305,2,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,83,0,1000
Taiwan,10,60,7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,7.17,83,0.08,1200
Uganda,300,60,7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,83,0.12,1800
United States (Puerto Rico),17,5,7.67,7.5,7.67,7.83,7.75,7.83,10,10,9.33,7.42,83,0,853.44
Guatemala,26,69,7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,7.42,83,0.1,1500
Costa Rica,250,1,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,83,0.11,1200
Brazil,250,2,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,83,0.12,1250
Colombia,120,70,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,83,0.11,1775
Colombia,250,70,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,83,0,1750
Colombia,250,70,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,83,0.11,1000
Colombia,250,70,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,83,0,1000
